iter	Passed	Remaining
402	11590	59676
403	11616	59633
404	11642	59593
405	11671	59563
406	11696	59516
407	11726	59493
408	11754	59461
409	11780	59418
410	11805	59370
411	11830	59326
412	11857	59286
413	11886	59261
414	11911	59215
415	11939	59180
416	11970	59161
417	11995	59117
418	12020	59068
419	12045	59024
420	12071	58980
421	12103	58970
422	12138	58970
423	12164	58928
424	12191	58891
425	12216	58847
426	12242	58805
427	12276	58801
428	12309	58793
429	12338	58764
430	12365	58727
431	12392	58690
432	12428	58698
433	12455	58660
434	12480	58615
435	12511	58596
436	12537	58557
437	12564	58520
438	12591	58482
439	12617	58443
440	12643	58401
441	12668	58357
442	12741	58530
443	12823	58746
444	12902	58945
445	12981	59144
446	13057	59330
447	13126	59478
448	13208	59689
449	13262	59770
450	13292	59742
451	13347	59827
452	13416	59974
453	13457	59995
454	13486	59964
455	13513	59921
456	13540	59878
457	13567	59837
458	13593	59792
459	13621	59758
460	13648	59714
461	13674	59670
462	13702	59633
463	13728	59587
464	13755	59547
465	13780	59500
466	13805	59450
467	13833	59415
468	13859	59367
469	13885	59324
470	13911	59277
471	13936	59230
472	13961	59180
473	13988	59140
474	14014	59096
475	14044	59067
476	14070	59026
477	14096	58983
478	14133	58981
479	14160	58942
480	14187	58901
481	14213	58859
482	14255	58879
483	14281	58838
484	14307	58795
485	14332	58746
486	14359	58707
487	14385	58662
488	14410	58613
489	14437	58573
490	14467	58547
491	14493	58502
492	14519	58461
493	14546	58422
494	14580	58410
495	14605	58364
496	14630	58316
497	14655	58270
498	14685	58240
499	14710	58196
500	14736	58152
501	14762	58110
502	14789	58070
503	14815	58029
504	14842	57987
505	14869	57948
506	14899	57924
507	14926	57883
508	14953	57846
509	14980	57805
510	15006	57763
511	15032	57724
512	15059	57684
513	15088	57652
514	15117	57624
515	15143	57580
516	15168	57535
517	15198	57506
518	15230	57489
519	15264	57476
520	15290	57434
521	15317	57398
522	15343	57356
523	15369	57313
524	15397	57280
525	15429	57258
526	15454	57215
527	15480	57171
528	15505	57127
529	15535	57100
530	15560	57054
531	15585	57009
532	15610	56964
533	15637	56929
534	15663	56884
535	15688	56841
536	15714	56800
537	15758	56824
538	15784	56784
539	15811	56745
540	15837	56704
541	15863	56663
542	15889	56623
543	15916	56586
544	15942	56544
545	15972	56519
546	16004	56498
547	16030	56456
548	16057	56420
549	16083	56378
550	16108	56336
551	16133	56292
552	16158	56248
553	16193	56237
554	16232	56244
555	16262	56216
556	16288	56176
557	16313	56133
558	16339	56092
559	16364	56047
560	16395	56025
561	16420	55981
562	16446	55939
563	16472	55900
564	16503	55879
565	16528	55834
566	16553	55790
567	16578	55748
568	16610	55727
569	16636	55687
570	16662	55647
571	16686	55603
572	16711	55559
573	16736	55517
574	16763	55479
575	16788	55438
576	16817	55408
577	16843	55367
578	16867	55322
579	16893	55283
580	16918	55239
581	16948	55213
582	16974	55174
583	16998	55130
584	17028	55103
585	17053	55060
586	17078	55018
587	17104	54977
588	17128	54934
589	17157	54903
590	17182	54863
591	17207	54820
592	17245	54819
593	17272	54783
594	17298	54744
595	17323	54703
596	17349	54664
597	17374	54620
598	17399	54581
599	17432	54564
600	17463	54540
601	17490	54503
602	17517	54469
603	17543	54432
604	17570	54396
605	17597	54360
606	17623	54323
607	17648	54281
608	17677	54253
609	17703	54212
610	17730	54177
611	17756	54138
612	17781	54099
613	17807	54061
614	17833	54023
615	17859	53984
616	17896	53978
617	17921	53938
618	17947	53900
619	17973	53862
620	17999	53825
621	18024	53784
622	18050	53744
623	18076	53707
624	18107	53685
625	18146	53684
626	18172	53647
627	18198	53609
628	18235	53604
629	18261	53566
630	18287	53530
631	18325	53528
632	18361	53518
633	18388	53482
634	18414	53446
635	18441	53409
636	18467	53373
637	18494	53336
638	18523	53310
639	18550	53274
640	18576	53237
641	18601	53196
642	18626	53156
643	18651	53117
644	18676	53077
645	18704	53044
646	18736	53023
647	18762	52987
648	18789	52950
649	18815	52913
650	18840	52874
651	18865	52834
652	18891	52796
653	18917	52760
654	18948	52737
655	18976	52706
656	19004	52674
657	19032	52643
658	19060	52610
659	19090	52586
660	19117	52552
661	19143	52513
662	19168	52474
663	19204	52466
664	19230	52428
665	19255	52389
666	19301	52406
667	19326	52366
668	19354	52336
669	19380	52297
670	19405	52257
671	19430	52219
672	19456	52182
673	19482	52146
674	19508	52108
675	19541	52091
676	19608	52165
677	19682	52254
678	19762	52360
679	19847	52478
680	19937	52611
681	20011	52699
682	20052	52699
683	20090	52694
684	20124	52676
685	20198	52762
686	20285	52883
687	20364	52982
688	20430	53048
689	20516	53165
690	20572	53203
691	20621	53223
692	20699	53317
693	20821	53525
694	20914	53656
695	21058	53917
696	21131	53995
697	21224	54125
698	21287	54177
699	21343	54211
700	21405	54261
701	21515	54431
702	21616	54580
703	21703	54689
704	21769	54747
705	21846	54832
706	21882	54813
707	21927	54818
708	22035	54979
709	22120	55083
710	22244	55283
711	22283	55269
712	22308	55224
713	22334	55178
714	22360	55136
715	22388	55095
716	22422	55072
717	22451	55033
718	22476	54987
719	22502	54942
720	22528	54900
721	22555	54858
722	22582	54816
723	22608	54772
724	22635	54731
725	22665	54697
726	22698	54668
727	22723	54623
728	22748	54578
729	22773	54532
730	22798	54486
731	22825	54445
732	22853	54406
733	22884	54374
734	22911	54333
735	22939	54293
736	22966	54252
737	22996	54219
738	23022	54176
739	23048	54132
740	23074	54089
741	23104	54056
742	23131	54015
743	23173	54008
744	23199	53965
745	23225	53924
746	23251	53879
747	23276	53834
748	23304	53797
749	23330	53753
750	23359	53716
751	23386	53676
752	23411	53632
753	23446	53609
754	23472	53567
755	23498	53524
756	23582	53612
757	23652	53671
758	23723	53728
759	23807	53818
760	23877	53873
761	23949	53932
762	24017	53983
763	24075	54012
764	24102	53971
765	24155	53986
766	24199	53984
767	24285	54073
768	24313	54034
769	24341	53993
770	24366	53947
771	24391	53901
772	24417	53857
773	24442	53812
774	24470	53771
775	24500	53736
776	24527	53694
777	24568	53685
778	24595	53642
779	24620	53597
780	24647	53555
781	24673	53512
782	24702	53475
783	24729	53433
784	24755	53390
785	24783	53349
786	24808	53306
787	24836	53266
788	24862	53223
789	24888	53178
790	24917	53142
791	24944	53102
792	24971	53059
793	24997	53016
794	25022	52971
795	25053	52939
796	25079	52897
797	25105	52854
798	25138	52825
799	25168	52791
800	25194	52747
801	25219	52702
802	25244	52658
803	25269	52613
804	25297	52574
805	25324	52533
806	25359	52509
807	25392	52481
808	25417	52438
809	25443	52395
810	25470	52355
811	25496	52312
812	25522	52268
813	25547	52225
814	25577	52189
815	25602	52147
816	25629	52106
817	25657	52066
818	25682	52024
819	25709	51984
820	25735	51942
821	25764	51905
822	25794	51871
823	25819	51827
824	25846	51786
825	25873	51747
826	25901	51708
827	25928	51669
828	25961	51640
829	25986	51597
830	26022	51576
831	26049	51535
832	26075	51494
833	26102	51452
834	26138	51432
835	26163	51388
836	26188	51345
837	26214	51303
838	26245	51271
839	26273	51234
840	26300	51193
841	26327	51153
842	26353	51112
843	26380	51073
844	26418	51055
845	26453	51030
846	26479	50990
847	26506	50950
848	26533	50911
849	26560	50870
850	26586	50830
851	26614	50792
852	26641	50752
853	26671	50718
854	26696	50676
855	26722	50636
856	26747	50593
857	26774	50552
858	26800	50511
859	26825	50469
860	26851	50428
861	26888	50408
862	26916	50370
863	26942	50329
864	26969	50290
865	26999	50257
866	27027	50220
867	27053	50179
868	27079	50138
869	27114	50115
870	27153	50097
871	27179	50058
872	27206	50018
873	27234	49981
874	27261	49943
875	27287	49902
876	27314	49864
877	27341	49825
878	27367	49785
879	27394	49746
880	27421	49706
881	27447	49666
882	27472	49625
883	27498	49584
884	27527	49549
885	27552	49507
886	27578	49467
887	27604	49426
888	27631	49389
889	27658	49350
890	27684	49309
891	27710	49269
892	27742	49240
893	27768	49200
894	27803	49176
895	27829	49136
896	27855	49096
897	27882	49057
898	27907	49017
899	27933	48976
900	27965	48947
901	27991	48908
902	28017	48867
903	28043	48827
904	28075	48798
905	28112	48777
906	28138	48739
907	28168	48705
908	28196	48669
909	28224	48632
910	28250	48593
911	28277	48555
912	28303	48516
913	28334	48484
914	28361	48446
915	28391	48413
916	28418	48375
917	28444	48337
918	28471	48299
919	28497	48259
920	28523	48220
921	28549	48181
922	28575	48142
923	28606	48110
924	28631	48070
925	28658	48032
926	28685	47994
927	28713	47958
928	28739	47919
929	28764	47879
930	28797	47851
931	28828	47820
932	28854	47781
933	28879	47741
934	28907	47704
935	28937	47672
936	28962	47631
937	28988	47593
938	29014	47554
939	29044	47522
940	29069	47481
941	29106	47460
942	29133	47423
943	29162	47388
944	29189	47351
945	29216	47315
946	29245	47281
947	29271	47242
948	29298	47205
949	29326	47168
950	29359	47141
951	29399	47126
952	29425	47087
953	29455	47054
954	29483	47018
955	29510	46981
956	29537	46945
957	29564	46907
958	29590	46869
959	29618	46833
960	29644	46796
961	29674	46763
962	29700	46725
963	29728	46689
964	29755	46652
965	29781	46615
966	29808	46577
967	29837	46544
968	29863	46504
969	29891	46471
970	29921	46438
971	29947	46400
972	29973	46362
973	30000	46325
974	30026	46286
975	30053	46250
976	30094	46235
977	30122	46200
978	30149	46163
979	30178	46130
980	30203	46091
981	30229	46052
982	30256	46015
983	30292	45993
984	30319	45956
985	30345	45917
986	30371	45879
987	30396	45841
988	30422	45802
989	30446	45762
990	30471	45722
991	30500	45688
992	30526	45652
993	30553	45614
994	30579	45577
995	30606	45541
996	30640	45515
997	30669	45481
998	30695	45444
999	30721	45406
1000	30759	45385
1001	30784	45347
1002	30809	45308
1003	30836	45271
1004	30861	45233
1005	30920	45243
1006	30958	45222
1007	30993	45199
1008	31096	45272
1009	31193	45338
1010	31265	45367
1011	31316	45365
1012	31388	45393
1013	31461	45424
1014	31534	45452
1015	31570	45428
1016	31610	45411
1017	31653	45396
1018	31692	45377
1019	31765	45405
1020	31799	45378
1021	31853	45380
1022	31888	45354
1023	31933	45342
1024	32026	45399
1025	32080	45400
1026	32147	45419
1027	32272	45520
1028	32398	45623
1029	32511	45704
1030	32611	45769
1031	32733	45865
1032	32811	45897
1033	32893	45937
1034	32920	45897
1035	32947	45858
1036	32973	45819
1037	33000	45780
1038	33045	45766
1039	33070	45726
1040	33095	45685
1041	33120	45644
1042	33146	45604
1043	33170	45561
1044	33197	45522
1045	33221	45481
1046	33252	45447
1047	33277	45406
1048	33310	45377
1049	33336	45337
1050	33362	45298
1051	33390	45260
1052	33415	45220
1053	33461	45208
1054	33497	45181
1055	33523	45142
1056	33549	45103
1057	33577	45066
1058	33604	45027
1059	33630	44988
1060	33655	44948
1061	33682	44909
1062	33709	44872
1063	33736	44833
1064	33762	44795
1065	33788	44756
1066	33819	44723
1067	33846	44684
1068	33871	44644
1069	33899	44608
1070	33924	44568
1071	33954	44533
1072	33981	44495
1073	34013	44465
1074	34039	44425
1075	34065	44386
1076	34090	44345
1077	34119	44310
1078	34144	44270
1079	34169	44231
1080	34195	44191
1081	34221	44152
1082	34245	44111
1083	34271	44072
1084	34296	44031
1085	34324	43995
1086	34349	43955
1087	34385	43929
1088	34451	43942
1089	34504	43937
1090	34572	43952
1091	34645	43973
1092	34719	43994
1093	34806	44032
1094	34877	44050
1095	34954	44076
1096	34981	44037
1097	35041	44041
1098	35121	44069
1099	35166	44054
1100	35192	44015
1101	35218	43975
1102	35243	43934
1103	35274	43901
1104	35298	43860
1105	35324	43820
1106	35350	43780
1107	35375	43740
1108	35402	43702
1109	35429	43664
1110	35463	43634
1111	35493	43600
1112	35519	43561
1113	35544	43521
1114	35570	43481
1115	35596	43443
1116	35623	43404
1117	35655	43372
1118	35680	43333
1119	35712	43301
1120	35738	43262
1121	35763	43222
1122	35788	43182
1123	35813	43141
1124	35837	43100
1125	35862	43060
1126	35892	43026
1127	35922	42992
1128	35948	42953
1129	35973	42914
1130	35998	42874
1131	36033	42845
1132	36059	42806
1133	36086	42768
1134	36124	42744
1135	36152	42708
1136	36182	42673
1137	36211	42639
1138	36241	42605
1139	36270	42569
1140	36297	42532
1141	36329	42500
1142	36357	42464
1143	36391	42435
1144	36419	42398
1145	36445	42360
1146	36471	42322
1147	36498	42285
1148	36524	42245
1149	36559	42218
1150	36584	42178
1151	36609	42139
1152	36634	42099
1153	36660	42060
1154	36686	42022
1155	36711	41982
1156	36736	41943
1157	36764	41907
1158	36789	41868
1159	36814	41828
1160	36847	41798
1161	36876	41763
1162	36902	41725
1163	36927	41685
1164	36952	41647
1165	36982	41612
1166	37016	41584
1167	37042	41546
1168	37075	41515
1169	37102	41478
1170	37128	41440
1171	37155	41403
1172	37184	41369
1173	37211	41331
1174	37238	41294
1175	37265	41257
1176	37290	41219
1177	37316	41181
1178	37343	41144
1179	37370	41107
1180	37404	41078
1181	37433	41043
1182	37460	41006
1183	37485	40968
1184	37511	40930
1185	37543	40899
1186	37569	40861
1187	37594	40822
1188	37622	40787
1189	37648	40749
1190	37674	40710
1191	37699	40671
1192	37724	40634
1193	37751	40596
1194	37776	40558
1195	37802	40520
1196	37834	40489
1197	37862	40453
1198	37888	40416
1199	37915	40379
1200	37941	40342
1201	37967	40304
1202	38011	40286
1203	38041	40253
1204	38067	40215
1205	38094	40178
1206	38121	40142
1207	38147	40105
1208	38173	40068
1209	38198	40030
1210	38224	39992
1211	38253	39958
1212	38280	39921
1213	38305	39883
1214	38330	39844
1215	38356	39807
1216	38382	39769
1217	38408	39732
1218	38433	39694
1219	38467	39665
1220	38492	39627
1221	38517	39589
1222	38542	39551
1223	38568	39513
1224	38596	39478
1225	38623	39442
1226	38649	39405
1227	38680	39373
1228	38707	39337
1229	38733	39300
1230	38759	39263
1231	38785	39225
1232	38816	39194
1233	38842	39157
1234	38867	39119
1235	38897	39086
1236	38922	39048
1237	38947	39010
1238	38981	38981
1239	39013	38950
1240	39038	38912
1241	39063	38875
1242	39089	38837
1243	39119	38804
1244	39144	38767
1245	39169	38729
1246	39195	38692
1247	39221	38656
1248	39248	38619
1249	39274	38583
1250	39300	38546
1251	39328	38512
1252	39353	38474
1253	39379	38436
1254	39409	38405
1255	39435	38367
1256	39459	38329
1257	39488	38295
1258	39513	38258
1259	39543	38225
1260	39571	38190
1261	39597	38154
1262	39624	38118
1263	39650	38081
1264	39676	38045
1265	39703	38009
1266	39729	37973
1267	39759	37941
1268	39792	37910
1269	39818	37874
1270	39845	37839
1271	39872	37803
1272	39900	37769
1273	39925	37732
1274	39952	37696
1275	39986	37667
1276	40016	37634
1277	40040	37597
1278	40065	37559
1279	40091	37522
1280	40117	37486
1281	40151	37457
1282	40177	37421
1283	40206	37388
1284	40231	37350
1285	40255	37312
1286	40281	37276
1287	40308	37241
